Player,Position,Team
Cale Makar,D,ACC
Leon Draisaitl,F,ACC
Ryan O'Reilly,F,ACC
Noah Dobson,D,ACC
Jake Oettinger,G,ACC
Lucas Raymond,F,ACC
Roman Josi,D,ACC
Logan Cooley,F,ACC
Roope Hintz,F,ACC
Will Smith,F,ACC
Jake Allen,G,ACC
Jason Robertson,F,BIB
Tim Stutzle,F,BIB
Matthew Schaefer,D,BIB
Dylan Guenther,F,BIB
Morgan Geekie,F,BIB
Dylan Strome,F,BIB
Ryan Nugent-Hopkins,F,BIB
Carter Hart,G,BIB
Marco Rossi,F,BIB
Aaron Ekblad,D,BIB
Axel Sandin Pellikka,D,BIB
David Pastrnak,F,CSS
Andrei Vasilevskiy,G,CSS
Filip Forsberg,F,CSS
Juraj Slafkovsky,F,CSS
John Carlson,D,CSS
Pavel Dorofeyev,F,CSS
Rickard Rakell,F,CSS
Shayne Gostisbehere,D,CSS
Dylan Cozens,F,CSS
Ivan Demidov,F,CSS
Alexander Nikishin,D,CSS
Evan Bouchard,D,DRIFT
Zach Werenski,D,DRIFT
Adam Fox,D,DRIFT
Brandon Hagel,F,DRIFT
Sebastian Aho,F,DRIFT
Nick Schmaltz,F,DRIFT
J.T. Miller,F,DRIFT
Jared McCann,F,DRIFT
Zach Hyman,F,DRIFT
Jakub Dobes,G,DRIFT
Nikita Kucherov,F,Fishers
Kirill Kaprizov,F,Fishers
Mikko Rantanen,F,Fishers
Bryan Rust,F,Fishers
Gabriel Vilardi,F,Fishers
Logan Thompson,G,Fishers
Tomas Hertl,F,Fishers
Jacob Trouba,D,Fishers
Thomas Chabot,D,Fishers
Zeev Buium,D,Fishers
Connor McDavid,F,HPH
Alex DeBrincat,F,HPH
Mitch Marner,F,HPH
Steven Stamkos,F,HPH
Erik Karlsson,D,HPH
Pavel Zacha,F,HPH
Dylan Holloway,F,HPH
Scott Wedgewood,G,HPH
Joel Hofer,G,HPH
Sean Durzi,D,HPH
Vasily Podkolzin,F,HPH
Mark Scheifele,F,LYON
Jake Guentzel,F,LYON
Jack Hughes,F,LYON
Adrian Kempe,F,LYON
Brock Nelson,F,LYON
Rasmus Andersson,D,LYON
Mikhail Sergachev,D,LYON
Nikolaj Ehlers,F,LYON
Brady Tkachuk,F,LYON
Mike Matheson,D,LYON
Mika Zibanejad,F,Metz17
Matthew Tkachuk,F,Metz17
Mark Stone,F,Metz17
Aleksander Barkov,F,Metz17
Ilya Sorokin,G,Metz17
Alex Ovechkin,F,Metz17
Patrick Kane,F,Metz17
Morgan Rielly,D,Metz17
Ivan Barbashev,F,Metz17
Bowen Byram,D,Metz17
Dougie Hamilton,D,Metz17
Macklin Celebrini,F,MPV
William Nylander,F,MPV
Kyle Connor,F,MPV
Moritz Seider,D,MPV
Brock Faber,D,MPV
John Tavares,F,MPV
Brayden Point,F,MPV
Juuse Saros,G,MPV
Darcy Kuemper,G,MPV
Darnell Nurse,D,MPV
Ryan Leonard,F,MPV
Tage Thompson,F,PBW
Sam Reinhart,F,PBW
Miro Heiskanen,D,PBW
Tom Wilson,F,PBW
Kirill Marchenko,F,PBW
Matthew Knies,F,PBW
Vince Dunn,D,PBW
Joel Eriksson Ek,F,PBW
Yaroslav Askarov,G,PBW
Simon Nemec,D,PBW
Ivar Stenberg,F,PBW
Clayton Keller,F,POT
Drake Batherson,F,POT
Brandon Bussi,G,POT
